"ProjectCode","PlotID","mean_NDVI_018","mean_NDVI_047","mean_NDVI_119","mean_NDVI_121"
"20160725_AC_ORC","P01",0.670943796634674,0.703261077404022,0.66822338104248,0.705842137336731
"20160725_AC_ORC","P02",0.70378452539444,0.701490938663483,0.675722658634186,0.714592039585114
"20160725_AC_ORC","P03",0.74714857339859,0.695383489131927,0.662406742572784,0.700234770774841
"20160725_AC_ORC","P04",0.668735325336456,0.679252803325653,0.664930880069733,0.707815825939178
"20160725_AC_ORC","P05",0.727239370346069,0.707489311695099,0.68202793598175,0.72016042470932
"20160725_AC_ORC","P06",0.606480777263641,0.689552664756775,0.667775273323059,0.68837583065033
"20160725_AC_ORC","P07",0.693070113658905,0.656063377857208,0.674228727817535,0.721955597400665
"20160725_AC_ORC","P08",0.725910782814026,0.617118537425995,0.62783420085907,0.689959287643433
"20160725_AC_ORC","P09",0.767862617969513,0.664403200149536,0.683774590492249,0.716863632202148
"20160725_AC_ORC","P10",0.712146699428558,0.721350967884064,0.71110600233078,0.731709778308868
"20160725_AC_ORC","P11",0.676332056522369,0.74774044752121,0.736004114151001,0.742594540119171
"20160725_AC_ORC","P12",0.72015517950058,0.765338659286499,0.752161800861359,0.768039166927338
"20160725_AC_ORC","P13",0.794293642044067,0.729981362819672,0.709690630435944,0.75658917427063
"20160725_AC_ORC","P14",0.83772999048233,0.738214373588562,0.72363406419754,0.77020388841629
"20160725_AC_ORC","P15",0.878245234489441,0.801440119743347,0.7850341796875,0.811465501785278
"20160725_AC_ORC","P16",0.860625028610229,0.792866766452789,0.771658480167389,0.78755110502243
"20160725_AC_ORC","P17",0.748657584190369,0.685566067695618,0.679043233394623,0.702889382839203
"20160725_AC_ORC","P18",0.809928357601166,0.752173244953156,0.737632393836975,0.760036170482635
"20160725_AC_ORC","P19",0.798433721065521,0.760974705219269,0.733976662158966,0.747213125228882
"20160725_AC_ORC","P20",0.791942000389099,0.740967214107513,0.737875819206238,0.749656736850739
"20160725_AC_ORC","P21",0.823235690593719,0.709261834621429,0.705856263637543,0.737218022346497
"20160725_AC_ORC","P22",0.778764307498932,0.756296396255493,0.728605031967163,0.753032505512238
"20160725_AC_ORC","P23",0.752736687660217,0.747928500175476,0.721408545970917,0.732593238353729
"20160725_AC_ORC","P24",0.819911241531372,0.774376332759857,0.755674004554749,0.755068361759186
"20160725_AC_ORC","P25",0.730121850967407,0.691863715648651,0.674645662307739,0.704311668872833
"20160725_AC_ORC","P26",0.817099153995514,0.719752073287964,0.713248193264008,0.748324334621429
"20160725_AC_ORC","P27",0.856644570827484,0.783577620983124,0.763150334358215,0.784718096256256
"20160725_AC_ORC","P28",0.745072424411774,0.722318351268768,0.708826065063477,0.750170767307281
"20160725_AC_ORC","P29",0.781957566738129,0.768663048744202,0.746513724327087,0.772311210632324
"20160725_AC_ORC","P30",0.809403479099274,0.770853519439697,0.748605608940125,0.769043922424316
"20160725_AC_ORC","P31",0.722907543182373,0.731214821338654,0.7124183177948,0.746103525161743
"20160725_AC_ORC","P32",0.740247845649719,0.733109354972839,0.717714190483093,0.760064542293549
"20160725_AC_ORC","P33",0.757404685020447,0.711363613605499,0.699309647083282,0.720005452632904
"20160725_AC_ORC","P34",0.633298218250275,0.663250386714935,0.656718969345093,0.702629625797272
"20160725_AC_ORC","P35",0.689729690551758,0.683322012424469,0.661793410778046,0.70134311914444
"20160725_AC_ORC","P36",0.707383990287781,0.675041556358337,0.672098278999329,0.698176503181458
